date,headline,url
2013-09-16,"Houston Police Department Upgrades 2,188 TASER X2 Smart Weapons",https://investor.axon.com/press-releases/press-release-details/2013/Houston-Police-Department-Upgrades-2188-TASER-X2-Smart-Weapons/default.aspx
2013-09-11,Topeka Police Department Expands AXON Flex Camera Program,https://investor.axon.com/press-releases/press-release-details/2013/Topeka-Police-Department-Expands-AXON-Flex-Camera-Program/default.aspx
2013-08-21,TASER Announces Significant Smart Weapon Orders,https://investor.axon.com/press-releases/press-release-details/2013/TASER-Announces-Significant-Smart-Weapon-Orders/default.aspx
2013-08-14,Surprise Police Enhance Enforcement With Body Cams by TASER,https://investor.axon.com/press-releases/press-release-details/2013/Surprise-Police-Enhance-Enforcement-With-Body-Cams-by-TASER/default.aspx
2013-08-14,Dallas/Fort Worth Police Agencies Deploy 245 AXON Flex Cameras by TASER,https://investor.axon.com/press-releases/press-release-details/2013/DallasFort-Worth-Police-Agencies-Deploy-245-AXON-Flex-Cameras-by-TASER/default.aspx
2013-07-31,TASER Disrupts On-Officer Video Market With AXON Body,https://investor.axon.com/press-releases/press-release-details/2013/TASER-Disrupts-On-Officer-Video-Market-With-AXON-Body/default.aspx
2013-07-31,TASER Reports $32.2 Million Revenue and $0.08 EPS,https://investor.axon.com/press-releases/press-release-details/2013/TASER-Reports-322-Million-Revenue-and-008-EPS/default.aspx
2013-07-11,TASER to Release Second Quarter 2013 Earnings on July 31 and Announces New IR Social Media Initiatives,https://investor.axon.com/press-releases/press-release-details/2013/TASER-to-Release-Second-Quarter-2013-Earnings-on-July-31-and-Announces-New-IR-Social-Media-Initiatives/default.aspx
2013-07-10,New TASER StrikeLight Stunning Flashlight Announced,https://investor.axon.com/press-releases/press-release-details/2013/New-TASER-StrikeLight-Stunning-Flashlight-Announced/default.aspx
2013-06-27,U.S. Army Purchases 500 TASER X26E Units,https://investor.axon.com/press-releases/press-release-details/2013/US-Army-Purchases-500-TASER-X26E-Units/default.aspx
2013-06-03,Louisiana State Police Deploy 943 TASER Smart Weapons,https://investor.axon.com/press-releases/press-release-details/2013/Louisiana-State-Police-Deploy-943-TASER-Smart-Weapons/default.aspx
2013-05-22,Metropolitan Nashville Police Department Deploys 400 TASER Smart Weapons,https://investor.axon.com/press-releases/press-release-details/2013/Metropolitan-Nashville-Police-Department-Deploys-400-TASER-Smart-Weapons/default.aspx
2013-05-08,Kansas Highway Patrol Deploys 386 TASER Smart Weapons,https://investor.axon.com/press-releases/press-release-details/2013/Kansas-Highway-Patrol-Deploys-386-TASER-Smart-Weapons/default.aspx
2013-05-06,Truckee Police Department Deploys AXON Flex On-Officer Cameras to All Patrol Officers,https://investor.axon.com/press-releases/press-release-details/2013/Truckee-Police-Department-Deploys-AXON-Flex-On-Officer-Cameras-to-All-Patrol-Officers/default.aspx
2013-04-30,U.S. Army Expands TASER X26 CEW Program,https://investor.axon.com/press-releases/press-release-details/2013/US-Army-Expands-TASER-X26-CEW-Program/default.aspx
2013-04-25,TASER Q1 Revenues Increase 19 Percent to $30.4 Million,https://investor.axon.com/press-releases/press-release-details/2013/TASER-Q1-Revenues-Increase-19-Percent-to-304-Million/default.aspx
2013-04-24,Chesapeake Police Department Expands AXON Flex Systems to All Field Officers,https://investor.axon.com/press-releases/press-release-details/2013/Chesapeake-Police-Department-Expands-AXON-Flex-Systems-to-All-Field-Officers/default.aspx
2013-04-18,Cook County Sheriff's Office Deploys 250 AXON Flex Video Systems,https://investor.axon.com/press-releases/press-release-details/2013/Cook-County-Sheriffs-Office-Deploys-250-AXON-Flex-Video-Systems/default.aspx
2013-04-17,"TASER to Release First Quarter 2013 Earnings on April 25, 2013",https://investor.axon.com/press-releases/press-release-details/2013/TASER-to-Release-First-Quarter-2013-Earnings-on-April-25-2013/default.aspx
2013-04-16,San Diego County Sheriff's Department Deploys New TASER X2,https://investor.axon.com/press-releases/press-release-details/2013/San-Diego-County-Sheriffs-Department-Deploys-New-TASER-X2/default.aspx
2013-04-15,Open Letter to Shareholders: Progress in Our Video and Cloud Business,https://investor.axon.com/press-releases/press-release-details/2013/Open-Letter-to-Shareholders-Progress-in-Our-Video-and-Cloud-Business/default.aspx
2013-04-08,Cambridge University Study Shows On-Officer Video Reduces Use-of-Force Incidents by 59 Percent,https://investor.axon.com/press-releases/press-release-details/2013/Cambridge-University-Study-Shows-On-Officer-Video-Reduces-Use-of-Force-Incidents-by-59-Percent/default.aspx
2013-04-03,TASER Telesales Delivers Record $3.3 Million in Q1 Bookings From Small-Size Agencies,https://investor.axon.com/press-releases/press-release-details/2013/TASER-Telesales-Delivers-Record-33-Million-in-Q1-Bookings-From-Small-Size-Agencies/default.aspx
2013-03-28,Albuquerque Police Department Deploys 75 AXON Flex Systems,https://investor.axon.com/press-releases/press-release-details/2013/Albuquerque-Police-Department-Deploys-75-AXON-Flex-Systems/default.aspx
2013-03-26,New York State Police and New Orleans Police Department Deploy New TASER X26P,https://investor.axon.com/press-releases/press-release-details/2013/New-York-State-Police-and-New-Orleans-Police-Department-Deploy-New-TASER-X26P/default.aspx
2013-03-14,Lewisville Police Department Orders TASER X2 Smart Weapons,https://investor.axon.com/press-releases/press-release-details/2013/Lewisville-Police-Department-Orders-TASER-X2-Smart-Weapons/default.aspx
2013-03-11,TASER International (TASR) to Ring the NASDAQ Stock Market Opening Bell,https://investor.axon.com/press-releases/press-release-details/2013/TASER-International-TASR-to-Ring-the-NASDAQ-Stock-Market-Opening-Bell/default.aspx
2013-03-04,U.S. Army and Atlanta Police Department Expand TASER Weapon Deployments,https://investor.axon.com/press-releases/press-release-details/2013/US-Army-and-Atlanta-Police-Department-Expand-TASER-Weapon-Deployments/default.aspx
2013-02-27,Federal Law Enforcement Agency Orders 662 TASER X26 CEWs,https://investor.axon.com/press-releases/press-release-details/2013/Federal-Law-Enforcement-Agency-Orders-662-TASER-X26-CEWs/default.aspx
2013-02-26,TASER Board of Directors Approves Buy Back up to $25 Million of Company Stock,https://investor.axon.com/press-releases/press-release-details/2013/TASER-Board-of-Directors-Approves-Buy-Back-up-to-25-Million-of-Company-Stock/default.aspx
2013-02-25,Greensboro Police Department Deploys 125 AXON Flex Cameras,https://investor.axon.com/press-releases/press-release-details/2013/Greensboro-Police-Department-Deploys-125-AXON-Flex-Cameras/default.aspx
2013-02-21,TASER International to Host Analyst Day,https://investor.axon.com/press-releases/press-release-details/2013/TASER-International-to-Host-Analyst-Day/default.aspx
2013-02-21,TASER Q4 Revenues Up More Than 50% to $32.1 Million,https://investor.axon.com/press-releases/press-release-details/2013/TASER-Q4-Revenues-Up-More-Than-50-to-321-Million/default.aspx
2013-02-13,"TASER to Release Fourth Quarter 2012 Earnings on February 21, 2013",https://investor.axon.com/press-releases/press-release-details/2013/TASER-to-Release-Fourth-Quarter-2012-Earnings-on-February-21-2013/default.aspx
2013-02-11,"Laramie PD, Lone Tree PD and Shenandoah County Sheriff's Office to Deploy AXON Flex and EVIDENCE.com",https://investor.axon.com/press-releases/press-release-details/2013/Laramie-PD-Lone-Tree-PD-and-Shenandoah-County-Sheriffs-Office-to-Deploy-AXON-Flex-and-EVIDENCEcom/default.aspx
2013-02-07,Sunnyvale Department of Public Safety Deploys New TASER X26P Smart Weapons,https://investor.axon.com/press-releases/press-release-details/2013/Sunnyvale-Department-of-Public-Safety-Deploys-New-TASER-X26P-Smart-Weapons/default.aspx
2013-01-15,New TASER X26P Smart Weapon Announced,https://investor.axon.com/press-releases/press-release-details/2013/New-TASER-X26P-Smart-Weapon-Announced/default.aspx
2013-01-07,Lake Havasu Becomes First Agency to Fully Deploy TASER X2 and AXONFlex Units,https://investor.axon.com/press-releases/press-release-details/2013/Lake-Havasu-Becomes-First-Agency-to-Fully-Deploy-TASER-X2-and-AXONFlex-Units/default.aspx
2013-01-03,"Phoenix Police Department Deploys 2,365 TASER X2s With New TASER Protection Plan",https://investor.axon.com/press-releases/press-release-details/2013/Phoenix-Police-Department-Deploys-2365-TASER-X2s-With-New-TASER-Protection-Plan/default.aspx
2013-01-03,Salt Lake Valley Police Alliance Deploying 120 AXONFlex On-Officer Cameras,https://investor.axon.com/press-releases/press-release-details/2013/Salt-Lake-Valley-Police-Alliance-Deploying-120-AXONFlex-On-Officer-Cameras/default.aspx
2014-12-23,Florida's Pasco County Sheriff's Office Purchases 415 AXON Flex Cameras by TASER,https://investor.axon.com/press-releases/press-release-details/2014/Floridas-Pasco-County-Sheriffs-Office-Purchases-415-AXON-Flex-Cameras-by-TASER/default.aspx
2014-12-22,"Ontario Provincial Police Orders 1,879 TASER X2 Smart Weapons",https://investor.axon.com/press-releases/press-release-details/2014/Ontario-Provincial-Police-Orders-1879-TASER-X2-Smart-Weapons/default.aspx
2014-12-17,LAPD Becomes Largest US Police Department to Outfit Officers With AXON Body Cameras and EVIDENCE.com by TASER,https://investor.axon.com/press-releases/press-release-details/2014/LAPD-Becomes-Largest-US-Police-Department-to-Outfit-Officers-With-AXON-Body-Cameras-and-EVIDENCEcom-by-TASER/default.aspx
2014-12-04,TASER Continues to Build Momentum With AXON Body Cameras and EVIDENCE.com Solution,https://investor.axon.com/press-releases/press-release-details/2014/TASER-Continues-to-Build-Momentum-With-AXON-Body-Cameras-and-EVIDENCEcom-Solution/default.aspx
2014-11-26,Winston-Salem Police Department Moves to Full Deployment of AXON Body Cameras With Additional Purchase of 623 Cameras From TASER,https://investor.axon.com/press-releases/press-release-details/2014/Winston-Salem-Police-Department-Moves-to-Full-Deployment-of-AXON-Body-Cameras-With-Additional-Purchase-of-623-Cameras-From-TASER/default.aspx
2014-11-18,San Francisco Police Department Selects AXON Body Cameras and EVIDENCE.com From TASER,https://investor.axon.com/press-releases/press-release-details/2014/San-Francisco-Police-Department-Selects-AXON-Body-Cameras-and-EVIDENCEcom-From-TASER/default.aspx
2014-11-14,TASER International to Present at the Furey Research Hidden Gems Conference,https://investor.axon.com/press-releases/press-release-details/2014/TASER-International-to-Present-at-the-Furey-Research-Hidden-Gems-Conference/default.aspx
